DATE,FEDFUNDS
12/16/2021,0.08
12/17/2021,0.08
12/18/2021,0.08
12/19/2021,0.08
12/20/2021,0.08
12/21/2021,0.08
12/22/2021,0.08
12/23/2021,0.08
12/24/2021,0.08
12/25/2021,0.08
12/26/2021,0.08
12/27/2021,0.08
12/28/2021,0.08
12/29/2021,0.08
12/30/2021,0.08
12/31/2021,0.08
1/1/2022,0.08
1/2/2022,0.08
1/3/2022,0.08
1/4/2022,0.08
1/5/2022,0.08
1/6/2022,0.08
1/7/2022,0.08
1/8/2022,0.08
1/9/2022,0.08
1/10/2022,0.08
1/11/2022,0.08
1/12/2022,0.08
1/13/2022,0.08
1/14/2022,0.08
1/15/2022,0.08
1/16/2022,0.08
1/17/2022,0.08
1/18/2022,0.08
1/19/2022,0.08
1/20/2022,0.08
1/21/2022,0.08
1/22/2022,0.08
1/23/2022,0.08
1/24/2022,0.08
1/25/2022,0.08
1/26/2022,0.08
1/27/2022,0.08
1/28/2022,0.08
1/29/2022,0.08
1/30/2022,0.08
1/31/2022,0.08
2/1/2022,0.08
2/2/2022,0.08
2/3/2022,0.08
2/4/2022,0.08
2/5/2022,0.08
2/6/2022,0.08
2/7/2022,0.08
2/8/2022,0.08
2/9/2022,0.08
2/10/2022,0.08
2/11/2022,0.08
2/12/2022,0.08
2/13/2022,0.08
2/14/2022,0.08
2/15/2022,0.08
2/16/2022,0.08
2/17/2022,0.08
2/18/2022,0.08
2/19/2022,0.08
2/20/2022,0.08
2/21/2022,0.08
2/22/2022,0.08
2/23/2022,0.08
2/24/2022,0.08
2/25/2022,0.08
2/26/2022,0.08
2/27/2022,0.08
2/28/2022,0.08
3/1/2022,0.2
3/2/2022,0.2
3/3/2022,0.2
3/4/2022,0.2
3/5/2022,0.2
3/6/2022,0.2
3/7/2022,0.2
3/8/2022,0.2
3/9/2022,0.2
3/10/2022,0.2
3/11/2022,0.2
3/12/2022,0.2
3/13/2022,0.2
3/14/2022,0.2
3/15/2022,0.2
3/16/2022,0.2
3/17/2022,0.2
3/18/2022,0.2
3/19/2022,0.2
3/20/2022,0.2
3/21/2022,0.2
3/22/2022,0.2
3/23/2022,0.2
3/24/2022,0.2
3/25/2022,0.2
3/26/2022,0.2
3/27/2022,0.2
3/28/2022,0.2
3/29/2022,0.2
3/30/2022,0.2
3/31/2022,0.2
4/1/2022,0.33
4/2/2022,0.33
4/3/2022,0.33
4/4/2022,0.33
4/5/2022,0.33
4/6/2022,0.33
4/7/2022,0.33
4/8/2022,0.33
4/9/2022,0.33
4/10/2022,0.33
4/11/2022,0.33
4/12/2022,0.33
4/13/2022,0.33
4/14/2022,0.33
4/15/2022,0.33
4/16/2022,0.33
4/17/2022,0.33
4/18/2022,0.33
4/19/2022,0.33
4/20/2022,0.33
4/21/2022,0.33
4/22/2022,0.33
4/23/2022,0.33
4/24/2022,0.33
4/25/2022,0.33
4/26/2022,0.33
4/27/2022,0.33
4/28/2022,0.33
4/29/2022,0.33
4/30/2022,0.33
5/1/2022,0.77
5/2/2022,0.77
5/3/2022,0.77
5/4/2022,0.77
5/5/2022,0.77
5/6/2022,0.77
5/7/2022,0.77
5/8/2022,0.77
5/9/2022,0.77
5/10/2022,0.77
5/11/2022,0.77
5/12/2022,0.77
5/13/2022,0.77
5/14/2022,0.77
5/15/2022,0.77
5/16/2022,0.77
5/17/2022,0.77
5/18/2022,0.77
5/19/2022,0.77
5/20/2022,0.77
5/21/2022,0.77
5/22/2022,0.77
5/23/2022,0.77
5/24/2022,0.77
5/25/2022,0.77
5/26/2022,0.77
5/27/2022,0.77
5/28/2022,0.77
5/29/2022,0.77
5/30/2022,0.77
5/31/2022,0.77
6/1/2022,1.21
6/2/2022,1.21
6/3/2022,1.21
6/4/2022,1.21
6/5/2022,1.21
6/6/2022,1.21
6/7/2022,1.21
6/8/2022,1.21
6/9/2022,1.21
6/10/2022,1.21
6/11/2022,1.21
6/12/2022,1.21
6/13/2022,1.21
6/14/2022,1.21
6/15/2022,1.21
6/16/2022,1.21
6/17/2022,1.21
6/18/2022,1.21
6/19/2022,1.21
6/20/2022,1.21
6/21/2022,1.21
6/22/2022,1.21
6/23/2022,1.21
6/24/2022,1.21
6/25/2022,1.21
6/26/2022,1.21
6/27/2022,1.21
6/28/2022,1.21
6/29/2022,1.21
6/30/2022,1.21
7/1/2022,1.68
7/2/2022,1.68
7/3/2022,1.68
7/4/2022,1.68
7/5/2022,1.68
7/6/2022,1.68
7/7/2022,1.68
7/8/2022,1.68
7/9/2022,1.68
7/10/2022,1.68
7/11/2022,1.68
7/12/2022,1.68
7/13/2022,1.68
7/14/2022,1.68
7/15/2022,1.68
7/16/2022,1.68
7/17/2022,1.68
7/18/2022,1.68
7/19/2022,1.68
7/20/2022,1.68
7/21/2022,1.68
7/22/2022,1.68
7/23/2022,1.68
7/24/2022,1.68
7/25/2022,1.68
7/26/2022,1.68
7/27/2022,1.68
7/28/2022,1.68
7/29/2022,1.68
7/30/2022,1.68
7/31/2022,1.68
8/1/2022,2.33
8/2/2022,2.33
8/3/2022,2.33
8/4/2022,2.33
8/5/2022,2.33
8/6/2022,2.33
8/7/2022,2.33
8/8/2022,2.33
8/9/2022,2.33
8/10/2022,2.33
8/11/2022,2.33
8/12/2022,2.33
8/13/2022,2.33
8/14/2022,2.33
8/15/2022,2.33
8/16/2022,2.33
8/17/2022,2.33
8/18/2022,2.33
8/19/2022,2.33
8/20/2022,2.33
8/21/2022,2.33
8/22/2022,2.33
8/23/2022,2.33
8/24/2022,2.33
8/25/2022,2.33
8/26/2022,2.33
8/27/2022,2.33
8/28/2022,2.33
8/29/2022,2.33
8/30/2022,2.33
8/31/2022,2.33
9/1/2022,2.56
9/2/2022,2.56
9/3/2022,2.56
9/4/2022,2.56
9/5/2022,2.56
9/6/2022,2.56
9/7/2022,2.56
9/8/2022,2.56
9/9/2022,2.56
9/10/2022,2.56
9/11/2022,2.56
9/12/2022,2.56
9/13/2022,2.56
9/14/2022,2.56
9/15/2022,2.56
9/16/2022,2.56
9/17/2022,2.56
9/18/2022,2.56
9/19/2022,2.56
9/20/2022,2.56
9/21/2022,2.56
9/22/2022,2.56
9/23/2022,2.56
9/24/2022,2.56
9/25/2022,2.56
9/26/2022,2.56
9/27/2022,2.56
9/28/2022,2.56
9/29/2022,2.56
9/30/2022,2.56
10/1/2022,3.08
10/2/2022,3.08
10/3/2022,3.08
10/4/2022,3.08
10/5/2022,3.08
10/6/2022,3.08
10/7/2022,3.08
10/8/2022,3.08
10/9/2022,3.08
10/10/2022,3.08
10/11/2022,3.08
10/12/2022,3.08
10/13/2022,3.08
10/14/2022,3.08
10/15/2022,3.08
10/16/2022,3.08
10/17/2022,3.08
10/18/2022,3.08
10/19/2022,3.08
10/20/2022,3.08
10/21/2022,3.08
10/22/2022,3.08
10/23/2022,3.08
10/24/2022,3.08
10/25/2022,3.08
10/26/2022,3.08
10/27/2022,3.08
10/28/2022,3.08
10/29/2022,3.08
10/30/2022,3.08
10/31/2022,3.08
11/1/2022,3.78
11/2/2022,3.78
11/3/2022,3.78
11/4/2022,3.78
11/5/2022,3.78
11/6/2022,3.78
11/7/2022,3.78
11/8/2022,3.78
11/9/2022,3.78
11/10/2022,3.78
11/11/2022,3.78
11/12/2022,3.78
11/13/2022,3.78
11/14/2022,3.78
11/15/2022,3.78
11/16/2022,3.78
11/17/2022,3.78
11/18/2022,3.78
11/19/2022,3.78
11/20/2022,3.78
11/21/2022,3.78
11/22/2022,3.78
11/23/2022,3.78
11/24/2022,3.78
11/25/2022,3.78
11/26/2022,3.78
11/27/2022,3.78
11/28/2022,3.78
11/29/2022,3.78
11/30/2022,3.78
12/1/2022,4.1
12/2/2022,4.1
12/3/2022,4.1
12/4/2022,4.1
12/5/2022,4.1
12/6/2022,4.1
12/7/2022,4.1
12/8/2022,4.1
12/9/2022,4.1
12/10/2022,4.1
12/11/2022,4.1
12/12/2022,4.1
12/13/2022,4.1
12/14/2022,4.1
12/15/2022,4.1
12/16/2022,4.1
12/17/2022,4.1
12/18/2022,4.1
12/19/2022,4.1
12/20/2022,4.1
12/21/2022,4.1
12/22/2022,4.1
12/23/2022,4.1
12/24/2022,4.1
12/25/2022,4.1
12/26/2022,4.1
12/27/2022,4.1
12/28/2022,4.1
12/29/2022,4.1
12/30/2022,4.1
12/31/2022,4.1
1/1/2023,4.33
1/2/2023,4.33
1/3/2023,4.33
1/4/2023,4.33
1/5/2023,4.33
1/6/2023,4.33
1/7/2023,4.33
1/8/2023,4.33
1/9/2023,4.33
1/10/2023,4.33
1/11/2023,4.33
1/12/2023,4.33
1/13/2023,4.33
1/14/2023,4.33
1/15/2023,4.33
1/16/2023,4.33
1/17/2023,4.33
1/18/2023,4.33
1/19/2023,4.33
1/20/2023,4.33
1/21/2023,4.33
1/22/2023,4.33
1/23/2023,4.33
1/24/2023,4.33
1/25/2023,4.33
1/26/2023,4.33
1/27/2023,4.33
1/28/2023,4.33
1/29/2023,4.33
1/30/2023,4.33
1/31/2023,4.33
2/1/2023,4.57
2/2/2023,4.57
2/3/2023,4.57
2/4/2023,4.57
2/5/2023,4.57
2/6/2023,4.57
2/7/2023,4.57
2/8/2023,4.57
2/9/2023,4.57
2/10/2023,4.57
2/11/2023,4.57
2/12/2023,4.57
2/13/2023,4.57
2/14/2023,4.57
2/15/2023,4.57
2/16/2023,4.57
2/17/2023,4.57
2/18/2023,4.57
2/19/2023,4.57
2/20/2023,4.57
2/21/2023,4.57
2/22/2023,4.57
2/23/2023,4.57
2/24/2023,4.57
2/25/2023,4.57
2/26/2023,4.57
2/27/2023,4.57
2/28/2023,4.57
3/1/2023,4.65
3/2/2023,4.65
3/3/2023,4.65
3/4/2023,4.65
3/5/2023,4.65
3/6/2023,4.65
3/7/2023,4.65
3/8/2023,4.65
3/9/2023,4.65
3/10/2023,4.65
3/11/2023,4.65
3/12/2023,4.65
3/13/2023,4.65
3/14/2023,4.65
3/15/2023,4.65
3/16/2023,4.65
3/17/2023,4.65
3/18/2023,4.65
3/19/2023,4.65
3/20/2023,4.65
3/21/2023,4.65
3/22/2023,4.65
3/23/2023,4.65
3/24/2023,4.65
3/25/2023,4.65
3/26/2023,4.65
3/27/2023,4.65
3/28/2023,4.65
3/29/2023,4.65
3/30/2023,4.65
3/31/2023,4.65
4/1/2023,4.83
4/2/2023,4.83
4/3/2023,4.83
4/4/2023,4.83
4/5/2023,4.83
4/6/2023,4.83
4/7/2023,4.83
4/8/2023,4.83
4/9/2023,4.83
4/10/2023,4.83
4/11/2023,4.83
4/12/2023,4.83
4/13/2023,4.83
4/14/2023,4.83
4/15/2023,4.83
4/16/2023,4.83
4/17/2023,4.83
4/18/2023,4.83
4/19/2023,4.83
4/20/2023,4.83
4/21/2023,4.83
4/22/2023,4.83
4/23/2023,4.83
4/24/2023,4.83
4/25/2023,4.83
4/26/2023,4.83
4/27/2023,4.83
4/28/2023,4.83
4/29/2023,4.83
4/30/2023,4.83
5/1/2023,5.06
5/2/2023,5.06
5/3/2023,5.06
5/4/2023,5.06
5/5/2023,5.06
5/6/2023,5.06
5/7/2023,5.06
5/8/2023,5.06
5/9/2023,5.06
5/10/2023,5.06
5/11/2023,5.06
5/12/2023,5.06
5/13/2023,5.06
5/14/2023,5.06
5/15/2023,5.06
5/16/2023,5.06
5/17/2023,5.06
5/18/2023,5.06
5/19/2023,5.06
5/20/2023,5.06
5/21/2023,5.06
5/22/2023,5.06
5/23/2023,5.06
5/24/2023,5.06
5/25/2023,5.06
5/26/2023,5.06
5/27/2023,5.06
5/28/2023,5.06
5/29/2023,5.06
5/30/2023,5.06
5/31/2023,5.06
6/1/2023,5.08
6/2/2023,5.08
6/3/2023,5.08
6/4/2023,5.08
6/5/2023,5.08
6/6/2023,5.08
6/7/2023,5.08
6/8/2023,5.08
6/9/2023,5.08
6/10/2023,5.08
6/11/2023,5.08
6/12/2023,5.08
6/13/2023,5.08
6/14/2023,5.08
6/15/2023,5.08
6/16/2023,5.08
6/17/2023,5.08
6/18/2023,5.08
6/19/2023,5.08
6/20/2023,5.08
6/21/2023,5.08
6/22/2023,5.08
6/23/2023,5.08
6/24/2023,5.08
6/25/2023,5.08
6/26/2023,5.08
6/27/2023,5.08
6/28/2023,5.08
6/29/2023,5.08
6/30/2023,5.08
7/1/2023,5.12
7/2/2023,5.12
7/3/2023,5.12
7/4/2023,5.12
7/5/2023,5.12
7/6/2023,5.12
7/7/2023,5.12
7/8/2023,5.12
7/9/2023,5.12
7/10/2023,5.12
7/11/2023,5.12
7/12/2023,5.12
7/13/2023,5.12
7/14/2023,5.12
7/15/2023,5.12
7/16/2023,5.12
7/17/2023,5.12
7/18/2023,5.12
7/19/2023,5.12
7/20/2023,5.12
7/21/2023,5.12
7/22/2023,5.12
7/23/2023,5.12
7/24/2023,5.12
7/25/2023,5.12
7/26/2023,5.12
7/27/2023,5.12
7/28/2023,5.12
7/29/2023,5.12
7/30/2023,5.12
7/31/2023,5.12
8/1/2023,5.33
8/2/2023,5.33
8/3/2023,5.33
8/4/2023,5.33
8/5/2023,5.33
8/6/2023,5.33
8/7/2023,5.33
8/8/2023,5.33
8/9/2023,5.33
8/10/2023,5.33
8/11/2023,5.33
8/12/2023,5.33
8/13/2023,5.33
8/14/2023,5.33
8/15/2023,5.33
8/16/2023,5.33
8/17/2023,5.33
8/18/2023,5.33
8/19/2023,5.33
8/20/2023,5.33
8/21/2023,5.33
8/22/2023,5.33
8/23/2023,5.33
8/24/2023,5.33
8/25/2023,5.33
8/26/2023,5.33
8/27/2023,5.33
8/28/2023,5.33
8/29/2023,5.33
8/30/2023,5.33
8/31/2023,5.33
9/1/2023,5.33
9/2/2023,5.33
9/3/2023,5.33
9/4/2023,5.33
9/5/2023,5.33
9/6/2023,5.33
9/7/2023,5.33
9/8/2023,5.33
9/9/2023,5.33
9/10/2023,5.33
9/11/2023,5.33
9/12/2023,5.33
9/13/2023,5.33
9/14/2023,5.33
9/15/2023,5.33
9/16/2023,5.33
9/17/2023,5.33
9/18/2023,5.33
9/19/2023,5.33
9/20/2023,5.33
9/21/2023,5.33
9/22/2023,5.33
9/23/2023,5.33
9/24/2023,5.33
9/25/2023,5.33
9/26/2023,5.33
9/27/2023,5.33
9/28/2023,5.33
9/29/2023,5.33
9/30/2023,5.33
10/1/2023,5.33
10/2/2023,5.33
10/3/2023,5.33
10/4/2023,5.33
10/5/2023,5.33
10/6/2023,5.33
10/7/2023,5.33
10/8/2023,5.33
10/9/2023,5.33
10/10/2023,5.33
10/11/2023,5.33
10/12/2023,5.33
10/13/2023,5.33
10/14/2023,5.33
10/15/2023,5.33
10/16/2023,5.33
10/17/2023,5.33
10/18/2023,5.33
10/19/2023,5.33
10/20/2023,5.33
10/21/2023,5.33
10/22/2023,5.33
10/23/2023,5.33
10/24/2023,5.33
10/25/2023,5.33
10/26/2023,5.33
10/27/2023,5.33
10/28/2023,5.33
10/29/2023,5.33
10/30/2023,5.33
10/31/2023,5.33
11/1/2023,5.33
11/2/2023,5.33
11/3/2023,5.33
11/4/2023,5.33
11/5/2023,5.33
11/6/2023,5.33
11/7/2023,5.33
11/8/2023,5.33
11/9/2023,5.33
11/10/2023,5.33
11/11/2023,5.33
11/12/2023,5.33
11/13/2023,5.33
11/14/2023,5.33
11/15/2023,5.33
11/16/2023,5.33
11/17/2023,5.33
11/18/2023,5.33
11/19/2023,5.33
11/20/2023,5.33
11/21/2023,5.33
11/22/2023,5.33
11/23/2023,5.33
11/24/2023,5.33
11/25/2023,5.33
11/26/2023,5.33
11/27/2023,5.33
11/28/2023,5.33
11/29/2023,5.33
11/30/2023,5.33
12/1/2023,5.33
12/2/2023,5.33
12/3/2023,5.33
12/4/2023,5.33
12/5/2023,5.33
12/6/2023,5.33
12/7/2023,5.33
12/8/2023,5.33
12/9/2023,5.33
12/10/2023,5.33
12/11/2023,5.33
12/12/2023,5.33
12/13/2023,5.33
12/14/2023,5.33
12/15/2023,5.33
12/16/2023,5.33
12/17/2023,5.33
12/18/2023,5.33
12/19/2023,5.33
12/20/2023,5.33
12/21/2023,5.33
12/22/2023,5.33
12/23/2023,5.33
12/24/2023,5.33
12/25/2023,5.33
12/26/2023,5.33
12/27/2023,5.33
12/28/2023,5.33
12/29/2023,5.33
12/30/2023,5.33
12/31/2023,5.33
1/1/2024,5.33
1/2/2024,5.33
1/3/2024,5.33
1/4/2024,5.33
1/5/2024,5.33
1/6/2024,5.33
1/7/2024,5.33
1/8/2024,5.33
1/9/2024,5.33
1/10/2024,5.33
1/11/2024,5.33
1/12/2024,5.33
1/13/2024,5.33
1/14/2024,5.33
1/15/2024,5.33
1/16/2024,5.33
1/17/2024,5.33
1/18/2024,5.33
1/19/2024,5.33
1/20/2024,5.33
1/21/2024,5.33
1/22/2024,5.33
1/23/2024,5.33
1/24/2024,5.33
1/25/2024,5.33
1/26/2024,5.33
1/27/2024,5.33
1/28/2024,5.33
1/29/2024,5.33
1/30/2024,5.33
1/31/2024,5.33
2/1/2024,5.33
2/2/2024,5.33
2/3/2024,5.33
2/4/2024,5.33
2/5/2024,5.33
2/6/2024,5.33
2/7/2024,5.33
2/8/2024,5.33
2/9/2024,5.33
2/10/2024,5.33
2/11/2024,5.33
2/12/2024,5.33
2/13/2024,5.33
2/14/2024,5.33
2/15/2024,5.33
2/16/2024,5.33
2/17/2024,5.33
2/18/2024,5.33
2/19/2024,5.33
2/20/2024,5.33
2/21/2024,5.33
2/22/2024,5.33
2/23/2024,5.33
2/24/2024,5.33
2/25/2024,5.33
2/26/2024,5.33
2/27/2024,5.33
2/28/2024,5.33
2/29/2024,5.33
3/1/2024,5.33
3/2/2024,5.33
3/3/2024,5.33
3/4/2024,5.33
3/5/2024,5.33
3/6/2024,5.33
3/7/2024,5.33
3/8/2024,5.33
3/9/2024,5.33
3/10/2024,5.33
3/11/2024,5.33
3/12/2024,5.33
3/13/2024,5.33
3/14/2024,5.33
3/15/2024,5.33
3/16/2024,5.33
3/17/2024,5.33
3/18/2024,5.33
3/19/2024,5.33
3/20/2024,5.33
3/21/2024,5.33
3/22/2024,5.33
3/23/2024,5.33
3/24/2024,5.33
3/25/2024,5.33
3/26/2024,5.33
3/27/2024,5.33
3/28/2024,5.33
3/29/2024,5.33
3/30/2024,5.33
3/31/2024,5.33
4/1/2024,5.33
4/2/2024,5.33
4/3/2024,5.33
4/4/2024,5.33
4/5/2024,5.33
4/6/2024,5.33
4/7/2024,5.33
4/8/2024,5.33
4/9/2024,5.33
4/10/2024,5.33
4/11/2024,5.33
4/12/2024,5.33
4/13/2024,5.33
4/14/2024,5.33
4/15/2024,5.33
4/16/2024,5.33
4/17/2024,5.33
4/18/2024,5.33
4/19/2024,5.33
4/20/2024,5.33
4/21/2024,5.33
4/22/2024,5.33
4/23/2024,5.33
4/24/2024,5.33
4/25/2024,5.33
4/26/2024,5.33
4/27/2024,5.33
4/28/2024,5.33
4/29/2024,5.33
4/30/2024,5.33
5/1/2024,5.33
5/2/2024,5.33
5/3/2024,5.33
5/4/2024,5.33
5/5/2024,5.33
5/6/2024,5.33
5/7/2024,5.33
5/8/2024,5.33
5/9/2024,5.33
5/10/2024,5.33
5/11/2024,5.33
5/12/2024,5.33
5/13/2024,5.33
5/14/2024,5.33
5/15/2024,5.33
5/16/2024,5.33
5/17/2024,5.33
5/18/2024,5.33
5/19/2024,5.33
5/20/2024,5.33
5/21/2024,5.33
5/22/2024,5.33
5/23/2024,5.33
5/24/2024,5.33
5/25/2024,5.33
5/26/2024,5.33
5/27/2024,5.33
5/28/2024,5.33
5/29/2024,5.33
5/30/2024,5.33
5/31/2024,5.33
6/1/2024,5.33
6/2/2024,5.33
6/3/2024,5.33
6/4/2024,5.33
6/5/2024,5.33
6/6/2024,5.33
6/7/2024,5.33
6/8/2024,5.33
6/9/2024,5.33
6/10/2024,5.33
6/11/2024,5.33
6/12/2024,5.33
6/13/2024,5.33
6/14/2024,5.33
6/15/2024,5.33
6/16/2024,5.33
6/17/2024,5.33
6/18/2024,5.33
6/19/2024,5.33
6/20/2024,5.33
6/21/2024,5.33
6/22/2024,5.33
6/23/2024,5.33
6/24/2024,5.33
6/25/2024,5.33
6/26/2024,5.33
6/27/2024,5.33
6/28/2024,5.33
6/29/2024,5.33
6/30/2024,5.33
7/1/2024,5.33
7/2/2024,5.33
7/3/2024,5.33
7/4/2024,5.33
7/5/2024,5.33
7/6/2024,5.33
7/7/2024,5.33
7/8/2024,5.33
7/9/2024,5.33
7/10/2024,5.33
7/11/2024,5.33
7/12/2024,5.33
7/13/2024,5.33
7/14/2024,5.33
7/15/2024,5.33
7/16/2024,5.33
7/17/2024,5.33
7/18/2024,5.33
7/19/2024,5.33
7/20/2024,5.33
7/21/2024,5.33
7/22/2024,5.33
7/23/2024,5.33
7/24/2024,5.33
7/25/2024,5.33
7/26/2024,5.33
7/27/2024,5.33
7/28/2024,5.33
7/29/2024,5.33
7/30/2024,5.33
7/31/2024,5.33
8/1/2024,5.33
8/2/2024,5.33
8/3/2024,5.33
8/4/2024,5.33
8/5/2024,5.33
8/6/2024,5.33
8/7/2024,5.33
8/8/2024,5.33
8/9/2024,5.33
8/10/2024,5.33
8/11/2024,5.33
8/12/2024,5.33
8/13/2024,5.33
8/14/2024,5.33
8/15/2024,5.33
8/16/2024,5.33
8/17/2024,5.33
8/18/2024,5.33
8/19/2024,5.33
8/20/2024,5.33
8/21/2024,5.33
8/22/2024,5.33
8/23/2024,5.33
8/24/2024,5.33
8/25/2024,5.33
8/26/2024,5.33
8/27/2024,5.33
8/28/2024,5.33
8/29/2024,5.33
8/30/2024,5.33
8/31/2024,5.33
9/1/2024,5.13
9/2/2024,5.13
9/3/2024,5.13
9/4/2024,5.13
9/5/2024,5.13
9/6/2024,5.13
9/7/2024,5.13
9/8/2024,5.13
9/9/2024,5.13
9/10/2024,5.13
9/11/2024,5.13
9/12/2024,5.13
9/13/2024,5.13
9/14/2024,5.13
9/15/2024,5.13
9/16/2024,5.13
9/17/2024,5.13
9/18/2024,5.13
9/19/2024,5.13
9/20/2024,5.13
9/21/2024,5.13
9/22/2024,5.13
9/23/2024,5.13
9/24/2024,5.13
9/25/2024,5.13
9/26/2024,5.13
9/27/2024,5.13
9/28/2024,5.13
9/29/2024,5.13
9/30/2024,5.13
10/1/2024,4.83
10/2/2024,4.83
10/3/2024,4.83
10/4/2024,4.83
10/5/2024,4.83
10/6/2024,4.83
10/7/2024,4.83
10/8/2024,4.83
10/9/2024,4.83
10/10/2024,4.83
10/11/2024,4.83
10/12/2024,4.83
10/13/2024,4.83
10/14/2024,4.83
10/15/2024,4.83
10/16/2024,4.83
10/17/2024,4.83
10/18/2024,4.83
10/19/2024,4.83
10/20/2024,4.83
10/21/2024,4.83
10/22/2024,4.83
10/23/2024,4.83
10/24/2024,4.83
10/25/2024,4.83
10/26/2024,4.83
10/27/2024,4.83
10/28/2024,4.83
10/29/2024,4.83
10/30/2024,4.83
10/31/2024,4.83
11/1/2024,4.64
11/2/2024,4.64
11/3/2024,4.64
11/4/2024,4.64
11/5/2024,4.64
11/6/2024,4.64
11/7/2024,4.64
11/8/2024,4.64
11/9/2024,4.64
11/10/2024,4.64
11/11/2024,4.64
11/12/2024,4.64
11/13/2024,4.64
11/14/2024,4.64
11/15/2024,4.64
11/16/2024,4.64
11/17/2024,4.64
11/18/2024,4.64
11/19/2024,4.64
11/20/2024,4.64
11/21/2024,4.64
11/22/2024,4.64
11/23/2024,4.64
11/24/2024,4.64
11/25/2024,4.64
11/26/2024,4.64
11/27/2024,4.64
11/28/2024,4.64
11/29/2024,4.64
11/30/2024,4.64
12/1/2024,4.48
12/2/2024,4.48
12/3/2024,4.48
12/4/2024,4.48
12/5/2024,4.48
12/6/2024,4.48
12/7/2024,4.48
12/8/2024,4.48
12/9/2024,4.48
12/10/2024,4.48
12/11/2024,4.48
12/12/2024,4.48
12/13/2024,4.48
12/14/2024,4.48
12/15/2024,4.48
12/16/2024,4.48
12/17/2024,4.48
12/18/2024,4.48
12/19/2024,4.48
12/20/2024,4.48
12/21/2024,4.48
12/22/2024,4.48
12/23/2024,4.48
12/24/2024,4.48
12/25/2024,4.48
12/26/2024,4.48
12/27/2024,4.48
12/28/2024,4.48
12/29/2024,4.48
12/30/2024,4.48
12/31/2024,4.48
1/1/2025,4.33
1/2/2025,4.33
1/3/2025,4.33
1/4/2025,4.33
1/5/2025,4.33
1/6/2025,4.33
1/7/2025,4.33
1/8/2025,4.33
1/9/2025,4.33
1/10/2025,4.33
1/11/2025,4.33
1/12/2025,4.33
1/13/2025,4.33
1/14/2025,4.33
1/15/2025,4.33
1/16/2025,4.33
1/17/2025,4.33
1/18/2025,4.33
1/19/2025,4.33
1/20/2025,4.33
1/21/2025,4.33
1/22/2025,4.33
1/23/2025,4.33
1/24/2025,4.33
1/25/2025,4.33
1/26/2025,4.33
1/27/2025,4.33
1/28/2025,4.33
1/29/2025,4.33
1/30/2025,4.33
1/31/2025,4.33
2/1/2025,4.33
2/2/2025,4.33
2/3/2025,4.33
2/4/2025,4.33
2/5/2025,4.33
2/6/2025,4.33
2/7/2025,4.33
2/8/2025,4.33
2/9/2025,4.33
2/10/2025,4.33
2/11/2025,4.33
2/12/2025,4.33
2/13/2025,4.33
2/14/2025,4.33
2/15/2025,4.33
2/16/2025,4.33
2/17/2025,4.33
2/18/2025,4.33
2/19/2025,4.33
2/20/2025,4.33
2/21/2025,4.33
2/22/2025,4.33
2/23/2025,4.33
2/24/2025,4.33
2/25/2025,4.33
2/26/2025,4.33
2/27/2025,4.33
2/28/2025,4.33
3/1/2025,4.33
3/2/2025,4.33
3/3/2025,4.33
3/4/2025,4.33
3/5/2025,4.33
3/6/2025,4.33
3/7/2025,4.33
3/8/2025,4.33
3/9/2025,4.33
3/10/2025,4.33
3/11/2025,4.33
3/12/2025,4.33
3/13/2025,4.33
3/14/2025,4.33
3/15/2025,4.33
3/16/2025,4.33
3/17/2025,4.33
3/18/2025,4.33
3/19/2025,4.33
3/20/2025,4.33
3/21/2025,4.33
3/22/2025,4.33
3/23/2025,4.33
3/24/2025,4.33
3/25/2025,4.33
3/26/2025,4.33
3/27/2025,4.33
3/28/2025,4.33
3/29/2025,4.33
3/30/2025,4.33
3/31/2025,4.33
4/1/2025,4.33
4/2/2025,4.33
4/3/2025,4.33
4/4/2025,4.33
4/5/2025,4.33
4/6/2025,4.33
4/7/2025,4.33
4/8/2025,4.33
4/9/2025,4.33
4/10/2025,4.33
4/11/2025,4.33
4/12/2025,4.33
4/13/2025,4.33
4/14/2025,4.33
4/15/2025,4.33
4/16/2025,4.33
4/17/2025,4.33
4/18/2025,4.33
4/19/2025,4.33
4/20/2025,4.33
4/21/2025,4.33
4/22/2025,4.33
4/23/2025,4.33
4/24/2025,4.33
4/25/2025,4.33
4/26/2025,4.33
4/27/2025,4.33
4/28/2025,4.33
4/29/2025,4.33
4/30/2025,4.33
5/1/2025,4.33
5/2/2025,4.33
5/3/2025,4.33
5/4/2025,4.33
5/5/2025,4.33
5/6/2025,4.33
5/7/2025,4.33
5/8/2025,4.33
5/9/2025,4.33
5/10/2025,4.33
5/11/2025,4.33
5/12/2025,4.33
5/13/2025,4.33
5/14/2025,4.33
5/15/2025,4.33
5/16/2025,4.33
5/17/2025,4.33
5/18/2025,4.33
5/19/2025,4.33
5/20/2025,4.33
5/21/2025,4.33
5/22/2025,4.33
5/23/2025,4.33
5/24/2025,4.33
5/25/2025,4.33
5/26/2025,4.33
5/27/2025,4.33
5/28/2025,4.33
5/29/2025,4.33
5/30/2025,4.33
5/31/2025,4.33
6/1/2025,4.33
6/2/2025,4.33
6/3/2025,4.33
6/4/2025,4.33
6/5/2025,4.33
6/6/2025,4.33
6/7/2025,4.33
6/8/2025,4.33
